econ_dataset_country,tourism_dataset_country,hdi_dataset_country,world_bank_dataset_country,country_value_map,region_value_map
Brunei,BRUNEI DARUSSALAM,Brunei Darussalam,Brunei,Brunei,East Asia and Pacific
Bulgaria,BULGARIA,Bulgaria,Bulgaria,Bulgaria,Europe and Central Asia
Burkina Faso,BURKINA FASO,Burkina Faso,Burkina Faso,Burkina Faso,Sub-Saharan Africa
Burundi,BURUNDI,Burundi,Burundi,Burundi,Sub-Saharan Africa
Cabo Verde,CABO VERDE,Cabo Verde,Cabo Verde,Cabo Verde,Sub-Saharan Africa
Cambodia,CAMBODIA,Cambodia,Cambodia,Cambodia,East Asia and Pacific
Cameroon,CAMEROON,Cameroon,Cameroon,Cameroon,Sub-Saharan Africa
Canada,CANADA,Canada,Canada,Canada,North America
N/A,CAYMAN ISLANDS,N/A,Cayman Islands,Cayman Islands,Latin America and the Caribbean
Central African Republic,CENTRAL AFRICAN REPUBLIC,Central African Republic,Central African Republic,Central African Republic,Sub-Saharan Africa
Chad,CHAD,Chad,Chad,Chad,Sub-Saharan Africa
Chile,CHILE,Chile,Chile,Chile,Latin America and the Caribbean
China,CHINA,China,China,China,East Asia and Pacific
Colombia,COLOMBIA,Colombia,Colombia,Colombia,Latin America and the Caribbean
N/A,COMOROS,Comoros,Comoros,Comoros,Sub-Saharan Africa
Republic of Congo,CONGO,Congo,"Congo, Rep.",Republic of Congo,Sub-Saharan Africa
Democratic Republic of Congo,"CONGO, DEMOCRATIC REPUBLIC OF THE",Congo (Democratic Republic of the),"Congo, Dem. Rep.",Democratic Republic of Congo,Sub-Saharan Africa
N/A,COOK ISLANDS,Cook Islands,Cook Islands,Cook Islands,East Asia and Pacific
Costa Rica,COSTA RICA,Costa Rica,Costa Rica,Costa Rica,Latin America and the Caribbean
Côte d'Ivoire,COTE D´IVOIRE,Côte d'Ivoire,Cote d'Ivoire,Côte d'Ivoire,Sub-Saharan Africa
Croatia,CROATIA,Croatia,Croatia,Croatia,Europe and Central Asia
Cuba,CUBA,Cuba,Cuba,Cuba,Latin America and the Caribbean
N/A,CURAÇAO,N/A,Curacao,Curaçao,Latin America and the Caribbean
Cyprus,CYPRUS,Cyprus,Cyprus,Cyprus,Europe and Central Asia
Czech Republic,CZECH REPUBLIC (CZECHIA),Czechia,Czechia,Czech Republic,Europe and Central Asia
Denmark,DENMARK,Denmark,Denmark,Denmark,Europe and Central Asia
Djibouti,DJIBOUTI,Djibouti,Djibouti,Djibouti,Middle East and North Africa
Dominica,DOMINICA,Dominica,Dominica,Dominica,Latin America and the Caribbean
Dominican Republic,DOMINICAN REPUBLIC,Dominican Republic,Dominican Republic,Dominican Republic,Latin America and the Caribbean
Ecuador,ECUADOR,Ecuador,Ecuador,Ecuador,Latin America and the Caribbean
Egypt,EGYPT,Egypt,"Egypt, Arab Rep.",Egypt,Middle East and North Africa
El Salvador,EL SALVADOR,El Salvador,El Salvador,El Salvador,Latin America and the Caribbean
Equatorial Guinea,EQUATORIAL GUINEA,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa
Eritrea,ERITREA,Eritrea,Eritrea,Eritrea,Sub-Saharan Africa
Estonia,ESTONIA,Estonia,Estonia,Estonia,Europe and Central Asia
Swaziland/Eswatini,ESWATINI,Eswatini (Kingdom of),Eswatini,Swaziland/Eswatini,Sub-Saharan Africa
Ethiopia,ETHIOPIA,Ethiopia,Ethiopia,Ethiopia,Sub-Saharan Africa
Fiji,FIJI,Fiji,Fiji,Fiji,East Asia and Pacific
Finland,FINLAND,Finland,Finland,Finland,Europe and Central Asia
France,FRANCE,France,France,France,Europe and Central Asia
N/A,FRENCH GUIANA,N/A,N/A,French Guiana,Latin America and the Caribbean
N/A,FRENCH POLYNESIA,N/A,French Polynesia,French Polynesia,East Asia and Pacific
Gabon,GABON,Gabon,Gabon,Gabon,Sub-Saharan Africa
Gambia,GAMBIA,Gambia,"Gambia, The",Gambia,Sub-Saharan Africa
Georgia,GEORGIA,Georgia,Georgia,Georgia,Europe and Central Asia
Germany,GERMANY,Germany,Germany,Germany,Europe and Central Asia
Ghana,GHANA,Ghana,Ghana,Ghana,Sub-Saharan Africa
Greece,GREECE,Greece,Greece,Greece,Europe and Central Asia
Grenada,GRENADA,Grenada,Grenada,Grenada,Latin America and the Caribbean
N/A,GUADELOUPE,N/A,N/A,Guadeloupe,Latin America and the Caribbean
N/A,GUAM,N/A,Guam,Guam,East Asia and Pacific
Guatemala,GUATEMALA,Guatemala,Guatemala,Guatemala,Latin America and the Caribbean
Guinea,GUINEA,Guinea,Guinea,Guinea,Sub-Saharan Africa
Guinea-Bissau,GUINEA-BISSAU,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa
Guyana,GUYANA,Guyana,Guyana,Guyana,Latin America and the Caribbean
Haiti,HAITI,Haiti,Haiti,Haiti,Latin America and the Caribbean
Honduras,HONDURAS,Honduras,Honduras,Honduras,Latin America and the Caribbean
Hong Kong,"HONG KONG, CHINA","Hong Kong, China (SAR)","Hong Kong SAR, China",Hong Kong,East Asia and Pacific
Hungary,HUNGARY,Hungary,Hungary,Hungary,Europe and Central Asia
Iceland,ICELAND,Iceland,Iceland,Iceland,Europe and Central Asia
India,INDIA,India,India,India,South Asia
Indonesia,INDONESIA,Indonesia,Indonesia,Indonesia,East Asia and Pacific
Iran,"IRAN, ISLAMIC REPUBLIC OF",Iran (Islamic Republic of),"Iran, Isalmic Rep.",Iran,Middle East and North Africa
Iraq,IRAQ,Iraq,Iraq,Iraq,Middle East and North Africa
Ireland,IRELAND,Ireland,Ireland,Ireland,Europe and Central Asia
Israel,ISRAEL,Israel,Israel,Israel,Middle East and North Africa
Italy,ITALY,Italy,Italy,Italy,Europe and Central Asia
Jamaica,JAMAICA,Jamaica,Jamaica,Jamaica,Latin America and the Caribbean
Japan,JAPAN,Japan,Japan,Japan,East Asia and Pacific
Jordan,JORDAN,Jordan,Jordan,Jordan,Middle East and North Africa
Kazakhstan,KAZAKHSTAN,Kazakhstan,Kazakhstan,Kazakhstan,Europe and Central Asia
Kenya,KENYA,Kenya,Kenya,Kenya,Sub-Saharan Africa
N/A,KIRIBATI,Kiribati,Kiribati,Kiribati,East Asia and Pacific
N/A,"KOREA, DEMOCRATIC PEOPLE¬¥S REPUBLIC OF",Korea (Democratic People's Rep. of),"Korea, Dem. People's Rep.",North Korea,East Asia and Pacific
Korea,"KOREA, REPUBLIC OF",Korea (Republic of),"Korea, Rep.",South Korea,East Asia and Pacific
Kuwait,KUWAIT,Kuwait,Kuwait,Kuwait,Middle East and North Africa
Kyrgyzstan,KYRGYZSTAN,Kyrgyzstan,Kyrgyz Republic,Kyrgyzstan,Europe and Central Asia
Laos,LAO PEOPLE¬¥S DEMOCRATIC REPUBLIC,Lao People's Democratic Republic,Lao PDR,Laos,East Asia and Pacific
Latvia,LATVIA,Latvia,Latvia,Latvia,Europe and Central Asia
Lebanon,LEBANON,Lebanon,Lebanon,Lebanon,Middle East and North Africa
Lesotho,LESOTHO,Lesotho,Lesotho,Lesotho,Sub-Saharan Africa
Liberia,LIBERIA,Liberia,Liberia,Liberia,Sub-Saharan Africa
Libya,LIBYA,Libya,Libya,Libya,Middle East and North Africa
N/A,LIECHTENSTEIN,Liechtenstein,Liechtenstein,Liechtenstein,Europe and Central Asia
Lithuania,LITHUANIA,Lithuania,Lithuania,Lithuania,Europe and Central Asia
Luxembourg,LUXEMBOURG,Luxembourg,Luxembourg,Luxembourg,Europe and Central Asia
Macau,"MACAO, CHINA",N/A,"Macao SAR, China",Macau,East Asia and Pacific
Madagascar,MADAGASCAR,Madagascar,Madagascar,Madagascar,Sub-Saharan Africa
Malawi,MALAWI,Malawi,Malawi,Malawi,Sub-Saharan Africa
Malaysia,MALAYSIA,Malaysia,Malaysia,Malaysia,East Asia and Pacific
Maldives,MALDIVES,Maldives,Maldives,Maldives,South Asia
Mali,MALI,Mali,Mali,Mali,Sub-Saharan Africa
Malta,MALTA,Malta,Malta,Malta,Middle East and North Africa
N/A,MARSHALL ISLANDS,Marshall Islands,Marshall Islands,Marshall Islands,East Asia and Pacific
N/A,MARTINIQUE,N/A,N/A,Martinique,Latin America and the Caribbean
Mauritania,MAURITANIA,Mauritania,Mauritania,Mauritania,Sub-Saharan Africa
Mauritius,MAURITIUS,Mauritius,Mauritius,Mauritius,Sub-Saharan Africa
Mexico,MEXICO,Mexico,Mexico,Mexico,Latin America and the Caribbean
"Micronesia, Federated States Of","MICRONESIA, FEDERATED STATES OF",Micronesia (Federated States of),"Micronesia, Fed. Sts.",Micronesia,East Asia and Pacific
Moldova,"MOLDOVA, REPUBLIC OF",Moldova (Republic of),Moldova,Moldova,Europe and Central Asia
N/A,MONACO,Monaco,Monaco,Monaco,Europe and Central Asia
Mongolia,MONGOLIA,Mongolia,Mongolia,Mongolia,East Asia and Pacific
N/A,MONTENEGRO,Montenegro,Montenegro,Montenegro,Europe and Central Asia
N/A,MONTSERRAT,N/A,N/A,Montserrat,Latin America and the Caribbean
Morocco,MOROCCO,Morocco,Morocco,Morocco,Middle East and North Africa
Mozambique,MOZAMBIQUE,Mozambique,Mozambique,Mozambique,Sub-Saharan Africa
Myanmar,MYANMAR,Myanmar,Myanmar,Myanmar,East Asia and Pacific
Namibia,NAMIBIA,Namibia,Namibia,Namibia,Sub-Saharan Africa
N/A,NAURU,Nauru,Nauru,Nauru,East Asia and Pacific
Nepal,NEPAL,Nepal,Nepal,Nepal,South Asia
Netherlands,NETHERLANDS,Netherlands,Netherlands,Netherlands,Europe and Central Asia
N/A,NEW CALEDONIA,N/A,New Caledonia,New Caledonia,East Asia and Pacific
New Zealand,NEW ZEALAND,New Zealand,New Zealand,New Zealand,East Asia and Pacific
Nicaragua,NICARAGUA,Nicaragua,Nicaragua,Nicaragua,Latin America and the Caribbean
Niger,NIGER,Niger,Niger,Niger,Sub-Saharan Africa
Nigeria,NIGERIA,Nigeria,Nigeria,Nigeria,Sub-Saharan Africa
N/A,NIUE,N/A,N/A,Niue,East Asia and Pacific
"Macedonia, North",NORTH MACEDONIA,North Macedonia,North Macedonia,North Macedonia,Europe and Central Asia
N/A,NORTHERN MARIANA ISLANDS,N/A,Northern Mariana Islands,Northern Mariana Islands,East Asia and Pacific
Norway,NORWAY,Norway,Norway,Norway,Europe and Central Asia
Oman,OMAN,Oman,Oman,Oman,Middle East and North Africa
Pakistan,PAKISTAN,Pakistan,Pakistan,Pakistan,South Asia
N/A,PALAU,Palau,Palau,Palau,East Asia and Pacific
Panama,PANAMA,Panama,Panama,Panama,Latin America and the Caribbean
Papua New Guinea,PAPUA NEW GUINEA,Papua New Guinea,Papua New Guinea,Papua New Guinea,East Asia and Pacific
Paraguay,PARAGUAY,Paraguay,Paraguay,Paraguay,Latin America and the Caribbean
Peru,PERU,Peru,Peru,Peru,Latin America and the Caribbean
Philippines,PHILIPPINES,Philippines,Philippines,Philippines,East Asia and Pacific
Poland,POLAND,Poland,Poland,Poland,Europe and Central Asia
Portugal,PORTUGAL,Portugal,Portugal,Portugal,Europe and Central Asia
Puerto Rico,PUERTO RICO,N/A,Puerto Rico,Puerto Rico,Latin America and the Caribbean
Qatar,QATAR,Qatar,Qatar,Qatar,Middle East and North Africa
N/A,REUNION,N/A,N/A,Reunion,Sub-Saharan Africa
Romania,ROMANIA,Romania,Romania,Romania,Europe and Central Asia
Russia,RUSSIAN FEDERATION,Russian Federation,Russian Federation,Russia,Europe and Central Asia
Rwanda,RWANDA,Rwanda,Rwanda,Rwanda,Sub-Saharan Africa
N/A,SABA,N/A,N/A,Saba,Latin America and the Caribbean
N/A,SAINT KITTS AND NEVIS,Saint Kitts and Nevis,St. Kitts and Nevis,Saint Kitts and Nevis,Latin America and the Caribbean
N/A,SAINT LUCIA,Saint Lucia,St. Lucia,Saint Lucia,Latin America and the Caribbean
N/A,SAINT VINCENT AND THE GRENADINES,Saint Vincent and the Grenadines,St. Vincent and the Grenadines,Saint Vincent and The Grenadines,Latin America and the Caribbean
Samoa,SAMOA,Samoa,Samoa,Samoa,East Asia and Pacific
San Marino,SAN MARINO,San Marino,San Marino,San Marino,Europe and Central Asia
São Tomé and Principe,SAO TOME AND PRINCIPE,Sao Tome and Principe,Sao Tome and Principe,São Tomé and Principe,Sub-Saharan Africa
Saudi Arabia,SAUDI ARABIA,Saudi Arabia,Saudi Arabia,Saudi Arabia,Middle East and North Africa
Senegal,SENEGAL,Senegal,Senegal,Senegal,Sub-Saharan Africa
Serbia,SERBIA,Serbia,Serbia,Serbia,Europe and Central Asia
N/A,SERBIA AND MONTENEGRO,N/A,N/A,Serbia and Montenegro,Europe and Central Asia
Seychelles,SEYCHELLES,Seychelles,Seychelles,Seychelles,Sub-Saharan Africa
Sierra Leone,SIERRA LEONE,Sierra Leone,Sierra Leone,Sierra Leone,Sub-Saharan Africa
Singapore,SINGAPORE,Singapore,Singapore,Singapore,East Asia and Pacific
N/A,SINT EUSTATIUS,N/A,N/A,Sint Eustatius,Latin America and the Caribbean
N/A,SINT MAARTEN (DUTCH PART),N/A,Sint Maarten (Dutch part),Sint Maarten (Dutch Part),Latin America and the Caribbean
Slovakia,SLOVAKIA,Slovakia,Slovak Republic,Slovakia,Europe and Central Asia
Slovenia,SLOVENIA,Slovenia,Slovenia,Slovenia,Europe and Central Asia
Solomon Islands,SOLOMON ISLANDS,Solomon Islands,Solomon Islands,Solomon Islands,East Asia and Pacific
N/A,SOMALIA,Somalia,Somalia,Somalia,Sub-Saharan Africa
South Africa,SOUTH AFRICA,South Africa,South Africa,South Africa,Sub-Saharan Africa
N/A,SOUTH SUDAN,South Sudan,South Sudan,South Sudan,Sub-Saharan Africa
Spain,SPAIN,Spain,Spain,Spain,Europe and Central Asia
Sri Lanka,SRI LANKA,Sri Lanka,Sri Lanka,Sri Lanka,South Asia
N/A,STATE OF PALESTINE,"Palestine, State of",West Bank and Gaza,Palestine,Middle East and North Africa
Sudan,SUDAN,Sudan,Sudan,Sudan,Sub-Saharan Africa
Suriname,SURINAME,Suriname,Suriname,Suriname,Latin America and the Caribbean
Sweden,SWEDEN,Sweden,Sweden,Sweden,Europe and Central Asia
Switzerland,SWITZERLAND,Switzerland,Switzerland,Switzerland,Europe and Central Asia
Syria,SYRIAN ARAB REPUBLIC,Syrian Arab Republic,Syrian Arab Republic,Syria,Middle East and North Africa
Taiwan,TAIWAN PROVINCE OF CHINA,N/A,N/A,Taiwan,East Asia and Pacific
Tajikistan,TAJIKISTAN,Tajikistan,Tajikistan,Tajikistan,Europe and Central Asia
Tanzania,"TANZANIA, UNITED REPUBLIC OF",Tanzania (United Republic of),Tanzania,Tanzania,Sub-Saharan Africa
Thailand,THAILAND,Thailand,Thailand,Thailand,East Asia and Pacific
N/A,TIMOR-LESTE,Timor-Leste,Timor-Leste,Timor-Leste,East Asia and Pacific
Togo,TOGO,Togo,Togo,Togo,Sub-Saharan Africa
Tonga,TONGA,Tonga,Tonga,Tonga,East Asia and Pacific
Trinidad and Tobago,TRINIDAD AND TOBAGO,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Latin America and the Caribbean
Tunisia,TUNISIA,Tunisia,Tunisia,Tunisia,Middle East and North Africa
Turkey,T√úRKIYE,T√ºrkiye,Turkey,Turkey,Europe and Central Asia
Turkmenistan,TURKMENISTAN,Turkmenistan,Turkmenistan,Turkmenistan,Europe and Central Asia
N/A,TURKS AND CAICOS ISLANDS,N/A,Turks and Caicos Islands,Turks and Caicos Islands,Latin America and the Caribbean
N/A,TUVALU,Tuvalu,Tuvalu,Tuvalu,East Asia and Pacific
Uganda,UGANDA,Uganda,Uganda,Uganda,Sub-Saharan Africa
Ukraine,UKRAINE,Ukraine,Ukraine,Ukraine,Europe and Central Asia
United Arab Emirates,UNITED ARAB EMIRATES,United Arab Emirates,United Arab Emirates,United Arab Emirates,Middle East and North Africa
United Kingdom,UNITED KINGDOM,United Kingdom,United Kingdom,United Kingdom,Europe and Central Asia
United States,UNITED STATES OF AMERICA,United States,United States,United States,North America
N/A,UNITED STATES VIRGIN ISLANDS,N/A,Virgin Islands (U.S.),United States Virgin Islands,Latin America and the Caribbean
Uruguay,URUGUAY,Uruguay,Uruguay,Uruguay,Latin America and the Caribbean
Uzbekistan,UZBEKISTAN,Uzbekistan,Uzbekistan,Uzbekistan,Europe and Central Asia
Vanuatu,VANUATU,Vanuatu,Vanuatu,Vanuatu,East Asia and Pacific
Venezuela,"VENEZUELA, BOLIVARIAN REPUBLIC OF",Venezuela (Bolivarian Republic of),"Venezuela, RB",Venezuela,Latin America and the Caribbean
Vietnam,VIET NAM,Viet Nam,Viet Nam,Vietnam,East Asia and Pacific
Yemen,YEMEN,Yemen,"Yemen, Rep.",Yemen,Middle East and North Africa
Zambia,ZAMBIA,Zambia,Zambia,Zambia,Sub-Saharan Africa
Zimbabwe,ZIMBABWE,Zimbabwe,Zimbabwe,Zimbabwe,Sub-Saharan Africa
